experience_coding,python_user,r_user,sql_user,most_used,compensation,Category
0.58,FALSE,FALSE,FALSE,,31841,< 5 Years
0.85,TRUE,FALSE,FALSE,,54481,< 5 Years
2.9,TRUE,FALSE,TRUE,Scikit-learn,57717,< 5 Years
3.4,TRUE,TRUE,TRUE,Scikit-learn,25721,< 5 Years
25.4,TRUE,FALSE,TRUE,Scikit-learn,64217,25+ Years
8.8,TRUE,FALSE,TRUE,TensorFlow,2203,5-10 Years
5.5,TRUE,TRUE,FALSE,TensorFlow,62142,5-10 Years
4.2,TRUE,FALSE,TRUE,Scikit-learn,12573,< 5 Years
14.2,TRUE,FALSE,TRUE,TensorFlow,13212,10-15 Years
2.8,TRUE,FALSE,FALSE,Scikit-learn,71758,< 5 Years
5.2,FALSE,FALSE,FALSE,,4306,5-10 Years
1.6,TRUE,FALSE,TRUE,Scikit-learn,835,< 5 Years
1.3,TRUE,FALSE,FALSE,Scikit-learn,601,< 5 Years
4.9,TRUE,TRUE,TRUE,Scikit-learn,61209,< 5 Years
0,FALSE,FALSE,FALSE,,365,< 5 Years
0.4,TRUE,FALSE,FALSE,,702,< 5 Years
0.93,TRUE,TRUE,TRUE,,67436,< 5 Years
2.4,TRUE,FALSE,FALSE,Keras,73296,< 5 Years
10.7,TRUE,FALSE,FALSE,TensorFlow,63999,10-15 Years
2.1,TRUE,FALSE,TRUE,Keras,58760,< 5 Years
2.4,TRUE,TRUE,TRUE,Scikit-learn,70522,< 5 Years
14.8,FALSE,TRUE,TRUE,,78489,10-15 Years
3.5,TRUE,FALSE,TRUE,,59768,< 5 Years
21.8,TRUE,TRUE,FALSE,Scikit-learn,53040,20-25 Years
4.3,TRUE,TRUE,TRUE,Scikit-learn,1894,< 5 Years
12.9,TRUE,FALSE,FALSE,Scikit-learn,124879,10-15 Years
2.5,TRUE,TRUE,TRUE,PyTorch,98886,< 5 Years
0.96,TRUE,FALSE,FALSE,PyTorch,797,< 5 Years
1.9,FALSE,TRUE,FALSE,,67900,< 5 Years
21.7,TRUE,FALSE,TRUE,PyTorch,169111,20-25 Years
0.27,TRUE,TRUE,FALSE,,69490,< 5 Years
16.8,TRUE,FALSE,FALSE,PyTorch,18059,15-20 Years
1.8,TRUE,FALSE,FALSE,,61535,< 5 Years
27.8,TRUE,TRUE,FALSE,TensorFlow,279,25+ Years
1,TRUE,TRUE,FALSE,Scikit-learn,4951,< 5 Years
8.2,TRUE,FALSE,TRUE,Scikit-learn,675,5-10 Years
2.5,TRUE,TRUE,TRUE,,66662,< 5 Years
2.2,TRUE,FALSE,TRUE,Scikit-learn,5345,< 5 Years
1.3,TRUE,FALSE,FALSE,Scikit-learn,15827,< 5 Years
7.1,TRUE,TRUE,TRUE,Scikit-learn,268,5-10 Years
